iter	Passed	Remaining
899	1656	184
900	1658	182
901	1659	180
902	1661	178
903	1663	176
904	1664	174
905	1666	172
906	1668	171
907	1670	169
908	1672	167
909	1674	165
910	1675	163
911	1677	161
912	1679	160
913	1681	158
914	1683	156
915	1684	154
916	1686	152
917	1688	150
918	1689	148
919	1691	147
920	1693	145
921	1694	143
922	1696	141
923	1698	139
924	1699	137
925	1701	135
926	1703	134
927	1705	132
928	1706	130
929	1708	128
930	1710	126
931	1712	124
932	1713	123
933	1715	121
934	1717	119
935	1719	117
936	1720	115
937	1722	113
938	1724	112
939	1725	110
940	1727	108
941	1729	106
942	1731	104
943	1732	102
944	1734	100
945	1736	99
946	1738	97
947	1740	95
948	1741	93
949	1743	91
950	1745	89
951	1746	88
952	1748	86
953	1750	84
954	1752	82
955	1754	80
956	1756	78
957	1757	77
958	1759	75
959	1761	73
960	1763	71
961	1764	69
962	1766	67
963	1768	66
964	1770	64
965	1771	62
966	1773	60
967	1775	58
968	1777	56
969	1778	55
970	1780	53
971	1782	51
972	1784	49
973	1786	47
974	1788	45
975	1790	44
976	1792	42
977	1793	40
978	1796	38
979	1797	36
980	1799	34
981	1801	33
982	1803	31
983	1804	29
984	1806	27
985	1808	25
986	1810	23
987	1811	22
988	1813	20
989	1815	18
990	1817	16
991	1819	14
992	1820	12
993	1822	11
994	1824	9
995	1826	7
996	1828	5
997	1829	3
998	1831	1
999	1833	0
